,PARCELID,APN,ID,G_CS,G_SCS,VMT,TRANSIT,WALKABLE,GAIN_SUM,SUSTAIN,REFUGIA,RISK,RESILIENT,SQFT,ACRES,SLOPE,servi_tier,toc_min_dua,toc_max_dua,toc_min_far,toc_max_far,toc_max_parking,ZONING,PDUSE,PDDENSITY,BASE_ZONING,PD,Zoning District,MIN_LOT_SQFT,UNITS_PER_LOT,MAX_DUA,MAX_FAR,BUILDING_HEIGHT,HEIGHT_STR,LOT_COVER,SETBK_AVG,ZN_PARK_MIN,RESI_ALLOWED,epc_class,gpabbreviation
0,568,23712112,568,1,0,0,1,0,1,0,0,0,0,30294.44481,0.695465,0%,3.0,50.0,75.0,2.0,4.0,1.0,HI,,0,HI,False,HI Heavy Industrial District,6000.0,99999.0,99999.0,99999.0,50.0,99999.0,0.4,13.0,1.0,False,NA,HI
1,508,23717101,508,1,0,0,1,0,1,0,0,0,0,67657.26587,1.553197,1%,3.0,50.0,75.0,2.0,4.0,1.0,A(PD),Com,0,A,True,A Agricultural,871200.0,99999.0,99999.0,0.8,35.0,99999.0,0.5,133.3,1.0,False,NA,TEC
2,509,23717102,509,1,0,0,1,0,1,0,0,0,0,101435.2345,2.328633,0%,3.0,50.0,75.0,2.0,4.0,1.0,IP(PD),Com,0,IP,True,IP Industrial Park District,10000.0,99999.0,99999.0,99999.0,50.0,99999.0,0.5,13.0,1.0,False,NA,TEC
3,510,23717099,510,1,0,0,1,0,1,0,0,0,0,51179.78032,1.174926,1%,3.0,50.0,75.0,2.0,4.0,1.0,CG,,0,CG,False,CG Commercial General District,43560.0,99999.0,99999.0,99999.0,65.0,99999.0,0.9,5.5,1.55,True,NA,TEC
4,11908,58705049,11908,1,0,0,1,0,1,0,0,0,0,6568.968404,0.150803,4%,,,,,,,R-1-8,,0,R-1-8,False,R-1-8 Residence District (8DU/Acre),5445.0,1.0,8.0,99999.0,35.0,2.5,0.3,15.5,2.0,True,NA,RN
5,11909,58705050,11909,1,0,0,1,0,1,0,0,0,0,6570.365351,0.150835,3%,,,,,,,R-1-8,,0,R-1-8,False,R-1-8 Residence District (8DU/Acre),5445.0,1.0,8.0,99999.0,35.0,2.5,0.3,15.5,2.0,True,NA,RN
6,11910,58705051,11910,1,0,0,1,0,1,0,0,0,0,6657.786237,0.152842,3%,,,,,,,R-1-8,,0,R-1-8,False,R-1-8 Residence District (8DU/Acre),5445.0,1.0,8.0,99999.0,35.0,2.5,0.3,15.5,2.0,True,NA,RN
7,11911,58705052,11911,1,0,0,1,0,1,0,0,0,0,7073.13403,0.162377,3%,,,,,,,R-1-8,,0,R-1-8,False,R-1-8 Residence District (8DU/Acre),5445.0,1.0,8.0,99999.0,35.0,2.5,0.3,15.5,2.0,True,NA,RN
8,11912,58705053,11912,1,0,0,1,0,1,0,0,0,0,7497.323784,0.172115,4%,,,,,,,R-1-8,,0,R-1-8,False,R-1-8 Residence District (8DU/Acre),5445.0,1.0,8.0,99999.0,35.0,2.5,0.3,15.5,2.0,True,NA,RN
9,511,23711059,511,1,0,0,1,0,1,0,0,0,0,304959.9231,7.000917,0%,3.0,50.0,75.0,2.0,4.0,1.0,A(PD),Ind,0,A,True,A Agricultural,871200.0,99999.0,99999.0,0.8,35.0,99999.0,0.5,133.3,1.0,False,NA,TEC
